Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
V351,2625857.48191,1257746.02088,0.659678,0.347579,38.461032
V352,2649409.72751,1200695.50211,2.76737,0.206139,160.872797
V353,2559174.46755,1103610.22472,3.006445,0.77397,174.780324
V354,2828493.99529,1161829.47114,3.267125,0.847248,189.926105
V355,2580373.84480,1200094.27224,0.373168,0.408219,21.876848
V356,2682354.19015,1211535.96125,3.21339,0.480446,186.7814
V357,2642566.99517,1208819.59591,0.918434,0.151431,53.514367
V358,2498438.80312,1122970.42729,0.287247,0.521128,16.739926
V359,2710782.59726,1208511.98427,3.401836,0.536437,197.770938
V360,2695399.88649,1260089.10977,0.81455,0.385243,47.47944
V361,2721177.45864,1221959.54287,4.399558,0.285084,255.727098
V362,2583099.97002,1238309.66329,0.338974,0.547932,19.870342
V363,2749744.28456,1156921.67212,3.9518,0.54605,229.78118
V364,2767325.90167,1157555.14196,3.623475,0.511668,210.706185
V365,2632565.67459,1154860.77936,2.768979,0.759486,160.96488
V366,2626307.40588,1175195.13680,2.907781,0.447591,169.075047
V367,2592440.62892,1210413.67061,0.306514,0.527661,17.99732
V368,2629511.08658,1262943.88352,0.695263,0.36612,40.499299
V369,2647023.68410,1111292.14238,4.132997,0.375114,240.227901
V370,2735088.37113,1124127.93930,3.970062,0.340451,230.803902
V371,2747945.67505,1240484.22203,3.581348,0.349832,208.152046
V372,2697236.61714,1162753.56203,3.584794,0.650101,208.390958
V373,2646823.68001,1243072.18862,0.345205,0.496601,20.175112
V374,2615429.89714,1222125.07456,0.288667,0.518492,16.963234
V375,2814797.84724,1171465.19929,3.076877,0.728595,178.882938
V376,2682178.68438,1176552.89585,3.24381,0.549776,188.587941
V377,2560256.65837,1133809.57198,0.278526,0.701407,16.34983
V378,2701238.79721,1164691.55663,3.73773,0.60533,217.279494
V379,2714682.81449,1161247.70113,3.878585,0.572156,225.500714
V380,2777177.42180,1190758.15008,2.832494,0.798339,164.653299
V381,2775056.45785,1196785.99555,2.943373,0.593638,171.10395
V382,2688644.18484,1199337.76714,4.465656,0.155878,259.53206
V383,2760791.21038,1257578.60429,3.458046,0.377114,200.915182
V384,2645849.58844,1123664.95589,2.979583,0.325011,173.236682
V385,2655331.53314,1177481.91282,0.646144,0.214315,37.578657
V386,2608473.84900,1188527.95734,0.56359,0.281363,32.887486
V387,2673857.89501,1204321.58939,3.395917,0.237064,197.397745
V388,2783787.60759,1206138.01577,2.904446,0.762893,168.831701
V389,2734421.21950,1169019.09577,3.533395,0.437856,205.466187
V390,2598722.01590,1139018.96247,2.413273,0.537491,140.256929
V391,2587241.97539,1114637.74739,0.801118,0.718676,46.595989
V392,2794025.07627,1164340.38354,3.109435,0.603115,180.788863
V393,2740963.68074,1134328.39137,3.883509,0.465051,225.848499
V394,2709706.10211,1181075.93824,3.483319,0.646688,202.486203
V395,2616297.97239,1126323.34823,2.334718,0.444793,135.707007
V396,2604264.12431,1240429.49334,0.674155,0.502496,39.268301
V397,2634456.95733,1263679.96493,0.663864,0.386683,38.673343
V398,2760322.12981,1148231.06333,3.337255,0.666861,193.998317
V399,2635084.51395,1151046.22002,3.631341,0.895761,211.095257
V400,2729355.07835,1144435.43388,3.992804,0.586318,232.156568
V401,2717052.21438,1138711.70504,4.705399,0.473906,273.531888
V402,2595269.96332,1221591.45270,0.308051,0.511617,18.092927
V403,2791635.80364,1197091.22673,2.722597,0.895199,158.259419
V404,2715704.70549,1190518.26663,3.62566,0.622727,210.769219
V405,2682055.73468,1269940.97724,0.727571,0.511075,42.359421
V406,2697667.40491,1139337.85583,4.189501,0.505183,243.552935
V407,2717321.21901,1086329.10984,5.417821,0.174423,314.876371
V408,2822711.45728,1177598.74180,3.101107,0.844968,180.272367
V409,2697729.18244,1176554.99545,3.340389,0.568354,194.191559
V410,2539495.18736,1154059.36492,0.081449,0.474621,4.899178
V411,2673349.11920,1197403.04910,3.288001,0.417885,191.113368
V412,2678281.66597,1231367.21568,2.669934,0.122646,154.638541
V413,2640547.28528,1128966.86948,0.82646,0.394424,48.044674
V414,2598197.76007,1245052.60961,0.634779,0.435754,36.988725
V415,2563267.69135,1136909.08011,1.269848,0.270312,73.853659
V416,2726990.33685,1156299.76844,3.737772,0.698695,217.28699
V417,2718102.72465,1154344.59927,3.705985,0.481154,215.481735
V418,2527011.05963,1195743.74895,0.389247,0.60846,22.740289
V419,2761398.03163,1157678.67884,3.290975,0.650286,191.302449
V420,2695186.72203,1272045.27575,0.745895,0.472895,43.432243
V421,2648488.35194,1158713.19771,3.67482,0.897058,213.617401
V422,2730781.58542,1247318.51691,1.633604,0.086152,94.801312
V423,2613245.65827,1167906.68683,1.046519,0.133499,60.953461
V424,2522244.91017,1170360.27328,0.331189,0.646994,19.399969
V425,2565551.52634,1181316.11437,0.21705,0.476436,12.741255
V426,2736527.69225,1163413.75506,3.320363,0.60277,193.022889
V427,2732729.79497,1229131.53135,3.273415,0.260902,190.328352
V428,2797980.60674,1139842.27838,3.772404,0.573212,219.353699
V429,2703285.83694,1137114.34910,4.21254,0.527837,244.912467
V430,2731007.45281,1200229.12220,4.102852,0.374053,238.486296
V431,2723361.91824,1141866.84600,3.983694,0.520163,231.644552
V432,2663089.79874,1222455.66529,3.483014,0.089135,201.607406
V433,2601560.15588,1200097.27863,0.115292,0.281488,7.013586
V434,2794418.28544,1176739.17196,3.028746,0.858791,176.063909
V435,2723843.83168,1241497.43989,4.885276,0.026743,284.787399
V436,2798471.37106,1156948.62757,3.16109,0.870538,183.760766
V437,2721928.94808,1219691.93864,4.084666,0.36823,237.424945
V438,2628242.28213,1250900.75645,0.510757,0.416545,29.774947
V439,2625556.90267,1099082.29779,2.819504,0.540355,163.872571
V440,2644747.50550,1128399.55755,1.439188,0.191077,83.626024
V441,2631154.75751,1099663.26402,3.736179,0.864285,217.185098
V442,2779930.54857,1202413.39355,2.793364,0.550061,162.395103
V443,2672288.32443,1208173.31286,3.365403,0.285036,195.478697
V444,2569369.44867,1256462.09491,0.879696,0.510738,51.201405
V445,2730505.13946,1137686.93163,3.859628,0.531188,224.386032
V446,2700726.16477,1119782.22042,4.619558,0.52571,268.587515
V447,2690593.94088,1284480.07361,0.910512,0.426537,53.006618
V448,2734638.48616,1154517.54942,3.818499,0.44342,222.05695
V449,2718308.69252,1264951.09763,0.732974,0.234117,42.762132
V450,2728238.37527,1195129.26083,3.618317,0.595423,210.350027
V451,2718448.36268,1283793.44379,1.468587,0.226601,85.3504
V452,2706743.12180,1202073.68764,3.434189,0.532244,199.657277
V453,2565630.13453,1106098.41341,2.455836,0.268892,142.723502
V454,2581445.20697,1203675.87444,0.289142,0.439566,16.987563
V455,2602982.12500,1259235.52032,0.935861,0.31665,54.50494
V456,2669774.19647,1215475.61783,3.208714,0.243066,186.328613
V457,2805543.79482,1181445.99771,3.077561,0.768565,178.907572
V458,2805991.47618,1188533.61630,2.967772,0.867585,172.508076
V459,2825980.09167,1184019.73760,3.06751,0.838252,178.318258
V460,2716948.76266,1150769.80721,4.325286,0.490208,251.488457
V461,2717674.53536,1210174.67007,3.610306,0.501244,209.85432
V462,2735129.27797,1144904.97935,4.062785,0.521215,236.251657
V463,2634793.85908,1194475.09244,1.446274,0.132548,84.041227
V464,2749648.78843,1227009.70697,4.265743,0.11525,248.142391
V465,2664298.26929,1168826.87648,2.835825,0.448266,164.868216
V466,2707793.34203,1282931.41909,0.902835,0.613687,52.522963
V467,2668400.84571,1199350.34615,3.550718,0.245099,206.405318
V468,2720213.51986,1243062.38348,0.914131,0.128784,52.985654
V469,2674632.14933,1255877.94804,0.617834,0.40014,35.99616
V470,2579415.95122,1194376.90101,0.244713,0.386442,14.384637
V471,2658596.65478,1167760.98770,2.924607,0.593183,170.026005
V472,2704062.49139,1179536.75928,3.426436,0.732176,199.182173
V473,2693114.74562,1263352.01041,0.50093,0.311592,29.311551
V474,2553141.83295,1152214.25016,0.325316,0.481393,19.077325
V475,2814678.80090,1198312.83828,2.916748,0.902602,169.549666
V476,2561593.22413,1120314.86786,0.379213,0.495538,22.289972
V477,2737575.11756,1233789.09304,3.327675,0.260344,193.340495
V478,2825525.89283,1207380.64862,2.70666,0.87614,157.33157
V479,2609906.36623,1097101.69494,3.796691,0.903622,220.707082
V480,2747173.37348,1190225.01510,3.451282,0.569501,200.666851
V481,2786577.88257,1143402.95409,3.339506,0.827318,194.130036
V482,2624987.43111,1153839.59786,2.803536,0.811436,162.976064
V483,2714279.03880,1205277.98610,3.353105,0.702142,194.929695
V484,2769413.24658,1151372.00387,3.491122,0.532611,202.98358
V485,2708229.85432,1154498.96001,3.820083,0.436062,222.126705
V486,2630221.74831,1258253.43839,0.692498,0.301357,40.379944
V487,2632214.72071,1230309.85774,0.370015,0.61403,21.608278
V488,2639420.36891,1098155.59980,3.66051,0.686174,212.755149
V489,2761862.16233,1254871.65402,3.53027,0.337052,205.132825
V490,2603717.29944,1222136.47948,0.195225,0.535424,11.572354
V491,2580532.59382,1118874.99982,2.510629,0.384157,145.929639
V492,2827712.65334,1202895.88270,2.859784,0.849762,166.23486
V493,2710918.23123,1157684.08333,3.972886,0.516466,231.000014
V494,2569034.79245,1230752.47449,0.747843,0.55506,43.533195
V495,2709173.26977,1247469.81145,0.591868,0.152591,34.582965
V496,2715394.67460,1135236.17299,4.756784,0.479686,276.538629
V497,2584479.87812,1181235.01409,6.28161,0.375438,365.118501
V498,2571664.56079,1152415.57631,1.65363,0.162086,96.04004
V499,2571486.85029,1098314.66108,2.791778,0.687453,162.317718
