Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
V64,2605509.95760,1229309.05579,0.52411,0.433465,30.516478
V65,2770360.15934,1179533.89478,2.927425,0.841335,170.180816
V66,2701677.21626,1224489.17243,2.16465,0.104583,125.54154
V67,2676165.51529,1212626.17775,3.135102,0.319398,182.196603
V68,2696891.89623,1128201.20624,3.348513,0.244999,194.599729
V69,2756993.67403,1172759.51207,2.439527,0.238665,141.665538
V70,2672610.77093,1160297.97524,3.465819,0.879213,201.457618
V71,2734248.67634,1275380.21364,0.558626,0.361406,32.546501
V72,2735506.99726,1134326.16371,3.219457,0.373976,187.088929
V73,2707641.63643,1175028.72588,2.745093,0.641539,159.54353
V74,2700404.04572,1278118.36794,1.24587,0.46507,72.403194
V75,2760205.24229,1162958.58934,2.940265,0.795938,170.897158
V76,2709683.80448,1220298.24490,3.05331,0.194929,177.490791
V77,2706193.12894,1204915.13726,3.323714,0.506491,193.20971
V78,2573309.35009,1088962.84774,3.191924,0.818353,185.497636
V79,2690394.64517,1263258.31528,0.66988,0.412648,38.976789
V80,2658472.49510,1162622.86507,3.532948,0.884813,205.361647
V81,2765272.16810,1135549.85039,3.111049,0.349939,180.778463
V82,2638843.82087,1176587.05510,1.654054,0.279948,96.01938
V83,2594170.19185,1196503.47785,0.648132,0.271294,37.702939
V84,2701795.44033,1112355.35418,4.461577,0.177489,259.657899
V85,2784426.55416,1177482.15575,2.901879,0.868389,168.690504
V86,2727568.01129,1117512.44864,2.823974,0.325507,164.058781
V87,2697521.52255,1216353.43904,2.999911,0.240443,174.338747
V88,2631718.59209,1110589.19595,3.518993,0.875214,204.550462
V89,2559847.89302,1125477.03097,0.602756,0.389717,35.098618
V90,2648024.99517,1134464.17440,2.238117,0.583178,130.044084
V91,2629163.14113,1237328.67958,0.570088,0.481436,33.183936
V92,2658561.07826,1269827.05884,0.548916,0.619047,31.961607
V93,2634686.66464,1253075.59799,0.645577,0.425403,37.561587
V94,2576383.58521,1218228.35171,0.615671,0.548755,35.829475
V95,2623059.11861,1243026.52818,0.631952,0.47344,36.775486
V96,2659765.01811,1182858.30582,2.395171,0.763387,139.215448
V97,2633757.87696,1166204.43248,1.863813,0.402966,108.286962
V98,2618690.43097,1210687.01728,0.912759,0.219553,53.002211
V99,2819816.18162,1188268.69123,2.861509,0.792436,166.344065
V100,2722920.89335,1230841.26716,3.190373,0.183496,185.476947
V101,2718576.53400,1247060.53857,1.070409,0.128846,62.014886
V102,2666424.27517,1248075.48144,0.657912,0.378481,38.277252
V103,2709135.19508,1198698.28534,2.988572,0.785121,173.725039
V104,2564127.92114,1236126.78709,0.69024,0.469484,40.154607
V105,2699956.89142,1130146.79737,3.553757,0.354855,206.589908
V106,2714913.17703,1088942.20663,5.779337,0.109464,336.298223
V107,2719452.20938,1139777.04433,4.985571,0.073398,290.657186
V108,2750551.32017,1249149.61296,2.437266,0.1681,141.541056
