Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
V215,2616102.53646,1162447.68107,1.942532,0.894901,112.925225
V216,2670449.22101,1227830.76161,1.329245,0.806336,77.2731
V217,2680264.72512,1200341.31332,2.007332,0.877818,116.693076
V218,2539097.90443,1174642.36208,0.974602,0.901435,56.655805
V219,2709431.07080,1119959.50238,1.974288,0.665834,114.778697
V220,2733951.02730,1149650.38857,2.673202,0.927529,155.39446
V221,2635499.71209,1104142.90521,3.345782,0.967015,194.488558
V222,2581987.71859,1147772.01286,1.834883,0.913702,106.664655
V223,2778438.32455,1170877.42177,2.662202,0.94054,154.75487
V224,2724750.43005,1185970.28942,2.624446,0.936947,152.5602
V225,2718417.42526,1216141.03784,2.333727,0.918343,135.66295
V226,2584466.57868,1127538.81357,2.590077,0.944457,150.560218
V227,2605297.08056,1117532.02759,2.558391,0.938308,148.719281
V228,2745398.22499,1158153.27185,2.538837,0.923518,147.584864
